Name,Alex ,Alfred,Anita,Anne,Bernard,Billiam,Charles,Claire,Frank,David,Eric,Franz,George,Herman,Joe,Maria,Max,Joe,Paul,Peter,Phillip,Richard,Roberts,Sam,Susan,Tom,Mario,Sally,Hanz,Holly,Luke,Betty,Frank,Charles,Paul
Hair Color,Black,Ginger,Blond,Black,Brown,Ginger,Blonde,Ginger,Black,Blond,Blond,Ginger,White,Ginger,Blond,Brown,Black,White,White,White,Black,Brown,Brown,White,White,Black,Black,Black,Blond,Brown,Blond,White,Black,White,White
Rosiness?,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Facial Hair?,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes
Gender,Male,Male,Female,Female,Male,Male,Male,Female,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Female,Male,Female,Male,Female,Male,Male,Male
Hat,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Glasses,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes
Bald,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No
EarsWidestOnFace?,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Eye Color,Brown,Blue,Blue,Brown,Brown,Blue,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Blue,Brown,Brown,Blue,Brown,Brown,Blue,Brown,Brown,Brown,Brown,Brown,Blue,Brown,Brown,Brown
DevelopedDigastricFossa?,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Hair Texture,Straight,Straight,Straight,Curly,Hat,Smooth,Straight,Hat,Straight,Straight,Hat,Curly,Hat,Smooth,Curly,Hat,Curly,Hat,Straight,Straight,Curly,Smooth,Straight,Smooth,Straight,Smooth,Curly,Curly,Smooth,Smooth,Curly,Curly,Hat,Smooth,Straight
Expression,Happy,Sad,Happy,Neutral,Sad,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Sad,Neutral,Neutral,Happy,Happy,Neutral,Happy,Happy,Happy,Neutral,Sad,Neutral,Happy,Happy,Happy,Happy,Neutral,Happy,Sad,Happy,Neutral,Neutral,Natural
Beard?,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes
Mustach?,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No
